City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Luderitz,NA,2021-02-05 15:09:33,-26.6481,15.1594,78.8,44,0,28.72
240,San Patricio,US,2021-02-05 15:12:01,28.017,-97.5169,60.8,55,90,9.22
241,Malakal,SS,2021-02-05 15:13:18,9.5334,31.6605,90.43,12,81,12.01
242,Walvis Bay,NA,2021-02-05 15:13:18,-22.9575,14.5053,73.4,60,0,10.36
243,Kahului,US,2021-02-05 15:11:40,20.8947,-156.47,64.4,88,90,4.61
244,Cadereyta,MX,2021-02-05 15:12:12,25.5833,-99.9833,62.6,51,1,12.66
245,Tiznit,MA,2021-02-05 15:13:19,29.5833,-9.5,59.7,44,0,18.97
246,Cassia,BR,2021-02-05 15:13:19,-20.5831,-46.9219,81.75,72,5,8.05
247,Ocumare Del Tuy,VE,2021-02-05 15:13:19,10.1165,-66.7761,84.2,74,20,4.03
248,Palombara Sabina,IT,2021-02-05 15:13:19,42.0667,12.768,68.0,45,0,4.61
249,Wonosobo,ID,2021-02-05 15:10:04,-7.36,109.9025,69.53,91,100,3.56
250,Tukrah,LY,2021-02-05 15:08:40,32.5341,20.5791,64.71,57,26,5.53
251,Dingle,PH,2021-02-05 15:08:50,10.9995,122.6711,75.87,89,97,7.45
252,Curaca,BR,2021-02-05 15:13:19,-8.9903,-39.9094,92.68,35,2,9.69
253,Tupik,RU,2021-02-05 15:13:20,54.4253,119.9327,-17.48,85,93,2.13
254,Mackay,AU,2021-02-05 15:13:20,-21.15,149.2,77.0,78,54,4.61
255,Pontianak,ID,2021-02-05 15:13:20,-0.0333,109.3333,77.0,94,40,5.03
256,Asmara,ER,2021-02-05 15:13:20,15.3333,38.9333,58.98,58,18,7.7
257,Kholmskaya,RU,2021-02-05 15:13:20,44.846,38.389,35.6,80,90,20.13
258,Nicoya,CR,2021-02-05 15:13:20,10.1483,-85.452,82.4,57,0,3.44
259,Hami,CN,2021-02-05 15:13:20,42.8,93.45,29.79,85,100,0.76
260,Namatanai,PG,2021-02-05 15:11:20,-3.6667,152.4333,78.96,85,100,8.59
261,Arlit,NE,2021-02-05 15:13:21,18.7369,7.3853,86.16,11,25,4.16
262,Talaya,RU,2021-02-05 15:13:21,61.3833,152.75,-24.38,83,99,2.19
263,Port Blair,IN,2021-02-05 15:11:01,11.6667,92.75,79.27,79,18,9.1
264,Ambilobe,MG,2021-02-05 15:13:21,-13.2,49.05,78.91,87,98,1.92
265,Dali,CN,2021-02-05 15:13:21,25.7,100.1833,46.17,55,0,4.09
266,Kruisfontein,ZA,2021-02-05 15:11:03,-34.0033,24.7314,77.34,62,0,18.48
267,Bartica,GY,2021-02-05 15:13:21,6.4,-58.6167,84.2,65,40,16.11
268,Mount Hagen,PG,2021-02-05 15:13:21,-5.8581,144.2274,60.13,91,100,0.65
269,Talnakh,RU,2021-02-05 15:13:22,69.4865,88.3972,-22.63,84,100,5.66
270,Ballitoville,ZA,2021-02-05 15:13:22,-29.539,31.2144,81.0,83,75,6.91
271,Ritchie,ZA,2021-02-05 15:13:22,-29.038,24.6028,86.0,39,40,2.3
272,Egvekinot,RU,2021-02-05 15:13:22,66.3167,-179.1667,-15.41,90,100,18.68
