City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Baherden,TM,38.4362,57.4316,50.36,72,100,8.66,overcast clouds
137,Dingle,PH,10.9995,122.6711,78.8,85,81,11.59,broken clouds
138,Nizhniy Kuranakh,RU,58.8353,125.4869,-23.66,81,90,1.14,overcast clouds
139,Makakilo City,US,21.3469,-158.0858,78.8,44,1,12.66,clear sky
140,Buchanan,LR,5.8808,-10.0467,75.2,100,20,9.26,few clouds
141,Carnarvon,AU,-24.8667,113.6333,80.6,100,24,11.5,few clouds
142,Nome,US,64.5011,-165.4064,17.6,79,90,6.91,overcast clouds
143,Macenta,GN,8.5435,-9.471,74.28,55,93,0.63,overcast clouds
144,Blackwater,AU,-23.5833,148.8833,89.78,52,84,9.46,broken clouds
145,Sol-Iletsk,RU,51.1631,54.9918,5.13,94,100,13.82,overcast clouds
146,Banda Aceh,ID,5.5577,95.3222,78.71,78,61,7.78,broken clouds
147,Tangjiazhuang,CN,39.7333,118.45,27.09,88,4,6.42,clear sky
148,Radom,PL,51.4025,21.1471,12.99,79,99,1.01,overcast clouds
149,Hofn,IS,64.2539,-15.2082,32.86,91,98,18.59,snow
150,Fort-Shevchenko,KZ,44.5086,50.263,39.45,75,100,9.42,overcast clouds
151,Benito Juarez,MX,19.385,-99.165,77.0,18,1,21.85,clear sky
152,Bodaybo,RU,57.8506,114.1933,-2.45,86,100,2.1,overcast clouds
153,Ternate,ID,0.8,127.4,79.74,79,100,3.0,overcast clouds
154,Salvador,SV,13.8333,-88.9167,86.0,69,20,10.36,few clouds
155,Mandera,KE,3.9366,41.867,74.97,66,1,13.76,clear sky
156,Tumbes,PE,-3.5667,-80.4414,84.2,65,75,4.61,broken clouds
157,Eydhafushi,MV,5.1033,73.0708,81.05,75,4,9.26,clear sky
158,Te Anau,NZ,-45.4167,167.7167,73.13,43,4,3.36,clear sky
159,Alyangula,AU,-13.8483,136.4192,80.6,83,75,16.11,moderate rain
160,Labuan,MY,5.2767,115.2417,78.8,94,20,6.46,few clouds
161,Aswan,EG,24.0934,32.907,56.5,59,0,4.32,clear sky
162,Terrak,NO,65.087,12.3715,23.0,86,0,5.19,clear sky
163,Am Timan,TD,11.0297,20.2827,66.43,24,4,8.52,clear sky
164,Phangnga,TH,8.4509,98.5298,73.4,94,20,2.3,few clouds
165,Vao,NC,-22.6667,167.4833,77.58,81,0,4.52,clear sky
166,Puerto Ayora,EC,-0.7393,-90.3518,78.01,91,62,3.0,broken clouds
167,Margate,GB,51.3813,1.3862,37.99,85,100,8.01,light rain
168,Mahebourg,MU,-20.4081,57.7,77.0,83,20,3.44,few clouds
169,Faanui,PF,-16.4833,-151.75,82.47,66,2,9.19,clear sky
170,Lucapa,AO,-8.4192,20.7447,67.1,95,100,2.01,overcast clouds
171,Perth,AU,-31.9333,115.8333,64.99,82,75,25.32,light rain
172,Santa Marta,CO,11.2408,-74.199,84.99,60,73,15.99,broken clouds
173,Kartaly,RU,53.0522,60.6467,4.37,88,3,24.4,clear sky
174,Hay River,CA,60.8156,-115.7999,-31.0,61,65,3.44,broken clouds
175,Vytegra,RU,61.0064,36.4481,11.88,95,100,10.89,snow
176,Longyearbyen,SJ,78.2186,15.6401,19.4,79,75,11.5,broken clouds
177,Lixourion,GR,38.2019,20.4314,58.35,68,62,8.46,broken clouds
178,Shiyan,CN,32.6475,110.7781,48.49,53,18,1.48,few clouds
179,Phan Thiet,VN,10.9333,108.1,74.91,72,55,4.34,broken clouds
180,George Town,MY,5.4112,100.3354,78.8,83,20,1.14,few clouds
181,Ilulissat,GL,69.2167,-51.1,23.0,46,7,29.93,light snow
182,Wanlaweyn,SO,2.6185,44.8938,72.07,83,17,8.72,few clouds
183,Atar,MR,20.5169,-13.0499,59.72,36,46,12.73,scattered clouds
184,Codrington,AU,-38.2667,141.9667,59.0,68,100,11.81,overcast clouds
185,Aklavik,CA,68.2191,-135.0107,-7.6,71,90,10.36,overcast clouds
186,Kirovskiy,RU,45.0917,133.5136,-2.99,91,91,2.46,overcast clouds
187,Yaviza,PA,8.1537,-77.6931,78.78,83,100,2.42,overcast clouds
188,Camacupa,AO,-12.0167,17.4833,62.8,96,100,6.08,light rain
189,Thompson,CA,55.7435,-97.8558,-25.6,62,75,13.8,snow
190,Ler,SS,8.3018,30.1418,65.14,25,47,6.98,scattered clouds
191,Kodiak,US,57.79,-152.4072,39.2,56,20,4.61,few clouds
192,Arraial Do Cabo,BR,-22.9661,-42.0278,75.58,83,100,5.23,overcast clouds
193,Namibe,AO,-15.1961,12.1522,71.11,79,30,5.1,scattered clouds
194,Iqaluit,CA,63.7506,-68.5145,26.6,74,90,20.71,overcast clouds
195,Cabo San Lucas,MX,22.8909,-109.9124,77.0,56,1,6.91,clear sky
196,Vilyuysk,RU,63.7553,121.6247,-33.39,83,54,5.61,broken clouds
197,Bilma,NE,18.6853,12.9164,60.3,28,71,5.26,broken clouds
198,Landerneau,FR,48.4525,-4.2525,44.6,93,90,6.91,overcast clouds
199,Vestmannaeyjar,IS,63.4427,-20.2734,39.34,72,32,28.9,scattered clouds
200,Kloulklubed,PW,7.0419,134.2556,80.47,86,100,22.66,overcast clouds
201,Upernavik,GL,72.7868,-56.1549,18.88,76,90,3.6,overcast clouds
202,Bethel,US,41.3712,-73.414,41.0,38,1,5.75,clear sky
203,Broome,US,42.2506,-75.833,26.6,33,1,6.91,clear sky
204,Itarema,BR,-2.9248,-39.9167,78.8,82,14,10.83,few clouds
205,Gat,IL,31.61,34.7642,55.99,100,1,1.12,clear sky
206,Alta Floresta,BR,-9.8756,-56.0861,71.71,97,95,5.21,overcast clouds
207,Tiksi,RU,71.6872,128.8694,-25.71,84,100,4.56,overcast clouds
208,Arman,RU,59.7,150.1667,8.51,87,100,13.67,overcast clouds
209,Barabai,ID,-2.5833,115.3833,77.49,90,100,0.58,overcast clouds
210,Vardo,NO,70.3705,31.1107,27.16,95,100,28.32,light snow
211,Mahajanga,MG,-15.7167,46.3167,78.8,94,40,3.44,light rain
212,Baturaja,ID,-4.1333,104.1667,73.8,93,87,3.83,overcast clouds
213,Ulundi,ZA,-28.3352,31.4162,68.97,93,88,2.93,overcast clouds
214,Pisco,PE,-13.7,-76.2167,73.4,78,75,4.61,broken clouds
215,Qaqortoq,GL,60.7167,-46.0333,21.0,81,46,5.79,scattered clouds
216,Ceyhan,TR,37.0247,35.8175,55.0,100,40,6.91,scattered clouds
217,Sehithwa,BW,-20.4667,22.7167,69.26,94,100,10.42,moderate rain
218,Meulaboh,ID,4.1363,96.1285,75.81,91,83,5.99,broken clouds
219,Dunedin,NZ,-45.8742,170.5036,59.0,80,1,24.0,clear sky
220,Mao,ES,39.8885,4.2658,57.2,88,40,8.05,scattered clouds
221,San Vicente,AR,-26.6167,-54.1333,63.19,80,0,4.5,light rain
222,Taltal,CL,-25.4,-70.4833,64.54,74,22,4.34,few clouds
223,Changji,CN,44.0167,87.3167,8.6,92,90,2.24,light snow
224,Fethiye,TR,36.6217,29.1164,48.2,100,0,4.61,clear sky
225,Maturin,VE,9.75,-63.1767,73.42,85,100,7.25,overcast clouds
226,Buraydah,SA,26.326,43.975,50.0,100,75,9.22,broken clouds
227,Vaini,TO,-21.2,-175.2,84.2,84,75,11.5,broken clouds
228,Finnsnes,NO,69.2296,17.9811,23.0,93,79,10.36,light snow
229,Zhuhai,CN,22.2769,113.5678,66.0,94,0,5.75,clear sky
230,Hobyo,SO,5.3505,48.5268,76.41,80,3,15.17,clear sky
231,Narsaq,GL,60.9167,-46.05,20.32,78,36,2.59,scattered clouds
232,Myaundzha,RU,63.0494,147.1858,-22.49,82,11,2.66,few clouds
233,Drayton Valley,CA,53.2168,-114.9854,-9.99,74,100,5.14,overcast clouds
234,Macia,MZ,-25.0269,33.0989,72.36,92,99,2.75,overcast clouds
235,Juba,SS,4.8517,31.5825,72.73,20,38,4.36,scattered clouds
236,Cabedelo,BR,-6.9811,-34.8339,80.6,78,20,5.75,few clouds
237,Quatre Cocos,MU,-20.2078,57.7625,77.0,83,20,3.44,few clouds
238,Carepa,CO,7.7585,-76.6525,78.24,86,100,5.06,overcast clouds
239,Ust-Omchug,RU,61.15,149.6333,-8.34,86,97,6.91,overcast clouds
240,Magistralnyy,RU,56.1725,107.4458,6.42,93,100,6.13,light snow
241,Southbridge,US,42.0751,-72.0334,33.8,37,1,11.5,clear sky
242,Hithadhoo,MV,-0.6,73.0833,81.75,74,22,13.33,few clouds
243,Komsomolskiy,UZ,40.4272,71.7189,42.8,52,100,4.61,mist
244,Galesong,ID,-5.3166,119.3661,73.4,100,20,2.3,few clouds
245,Singapore,SG,1.2897,103.8501,77.0,88,75,3.44,broken clouds
246,Inuvik,CA,68.3499,-133.7218,-20.2,69,100,2.3,overcast clouds
247,Kruisfontein,ZA,-34.0033,24.7314,64.0,87,22,1.01,few clouds
248,Altay,CN,47.8667,88.1167,21.2,86,57,4.34,broken clouds
249,Auch,FR,43.65,0.5833,46.0,83,100,8.01,overcast clouds
250,San Quintin,MX,30.4833,-115.95,63.77,61,0,10.83,clear sky
251,Roswell,US,34.0232,-84.3616,35.01,93,90,5.75,moderate rain
252,Pattani,TH,6.75,100.4167,73.4,100,20,5.75,few clouds
253,Novobirilyussy,RU,56.9514,90.6661,20.97,96,99,7.94,overcast clouds
254,Kathu,TH,7.9178,98.3332,84.0,94,20,2.3,few clouds
