City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Faanui,PF,82.47,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Santa Marta,CO,84.99,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
180,George Town,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
192,Arraial Do Cabo,BR,75.58,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
195,Cabo San Lucas,MX,77.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
200,Kloulklubed,PW,80.47,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
204,Itarema,BR,78.8,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
209,Barabai,ID,77.49,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
211,Mahajanga,MG,78.8,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
218,Meulaboh,ID,75.81,broken clouds,4.1363,96.1285,Kost Pria
227,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
230,Hobyo,SO,76.41,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
236,Cabedelo,BR,80.6,few clouds,-6.9811,-34.8339,Hotel Pigalle
237,Quatre Cocos,MU,77.0,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
238,Carepa,CO,78.24,overcast clouds,7.7585,-76.6525,HOTEL EL EDÉN
242,Hithadhoo,MV,81.75,few clouds,-0.6,73.0833,Scoop Guest House
245,Singapore,SG,77.0,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
254,Kathu,TH,84.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
271,Sinnamary,GF,77.65,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
272,Aquiraz,BR,82.4,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
275,Martapura,ID,78.8,broken clouds,-3.4167,114.85,Montana Hotel Syariah
281,Del Rio,US,77.0,clear sky,29.3627,-100.8968,Holiday Inn Express & Suites del Rio
293,Moree,AU,77.0,scattered clouds,-29.4667,149.85,Molika Springs Motel
302,Hervey Bay,AU,90.0,few clouds,-25.2986,152.8535,Shelly Bay Resort
303,Omboue,GA,79.0,light rain,-1.5746,9.2618,Hotel Olako
312,Sabang,ID,82.69,broken clouds,5.8933,95.3214,Hotel Citra
320,Bengkulu,ID,76.84,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
325,Lamu,KE,76.46,scattered clouds,-2.2717,40.902,Lamu House
333,Sao Jose Da Coroa Grande,BR,78.39,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
336,Tautira,PF,84.2,moderate rain,-17.7333,-149.15,Pension Oaoa
343,Agnibilekrou,CI,76.14,broken clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
